Method,Point 1 x,Point 1 y,M,Conv,Distance
WGS-84 to JTSK ,1044320.14,740998.62,0.999904,7.811295
Bessel to JTSK ,1044395.34,741088.11,0.999904,7.812135
Sphere to JTSK ,1039704.27,741828.6,0.999905,7.826757
ÈÚZK ,1044339.83,741019.02
Method,Point 2 x,Point 2 y,M,Conv,Distance
WGS-84 to JTSK ,1044280.51,740839.72,0.999904,7.809668
Bessel to JTSK ,1044355.7,740929.23,0.999904,7.810509
Sphere to JTSK ,1039664.56,741669.92,0.999905,7.825131
ÈÚZK ,1044275.97,740793.83
